entry,entry_name,gene_names,nucleus,cytoplasm,mitochondrion,plasma_membrane,endoplasmic_reticulum,golgi_apparatus,vacuole,zones
P22203,VATE_YEAST,VMA4 VAT5 YOR332W O6241,0,0,0,0,0,0,0,
P22204,DBF2_YEAST,DBF2 YGR092W,1,0,0,0,0,0,0,nucleus
P22211,NPR1_YEAST,NPR1 YNL183C N1631,0,1,0,1,0,1,0,"cytoplasm,plasma_membrane,golgi_apparatus"
P22213,SLY1_YEAST,SLY1 YDR189W YD9346.01 YD9395.22,0,1,0,0,1,0,0,"cytoplasm,endoplasmic_reticulum"
P22214,SEC22_YEAST,SEC22 SLY2 TSL26 YLR268W L8479.3,0,0,0,0,1,1,0,"endoplasmic_reticulum,golgi_apparatus"
P22216,RAD53_YEAST,RAD53 MEC2 SAD1 SPK1 YPL153C P2588,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P22217,TRX1_YEAST,TRX1 TRX2 YLR043C,1,1,1,0,0,0,1,"nucleus,cytoplasm,mitochondrion,vacuole"
P22219,VPS15_YEAST,VPS15 GRD8 VAC4 VPL19 YBR097W YBR0825,0,0,1,0,0,0,0,mitochondrion
P22224,SEC15_YEAST,SEC15 YGL233W,0,0,0,1,0,0,0,plasma_membrane
P22276,RPC2_YEAST,RET1 RPC128 RPC2 YOR207C,1,0,0,0,0,0,0,nucleus
P22289,QCR9_YEAST,QCR9 UCR9 YGR183C,0,0,1,0,0,0,0,mitochondrion
P22336,RFA1_YEAST,RFA1 BUF2 RPA1 YAR007C FUN3,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P22515,UBA1_YEAST,UBA1 YKL210W,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P22516,CHL1_YEAST,CHL1 CTF1 YPL008W YP8132.05,1,0,0,0,0,0,0,nucleus
P22517,KCC2_YEAST,CMK2 YOL016C,0,1,0,0,0,0,0,cytoplasm
P22543,VPS34_YEAST,VPS34 END12 PEP15 VPL7 VPT29 YLR240W L9672.10,0,1,0,0,0,0,0,cytoplasm
P22579,SIN3_YEAST,SIN3 CPE1 GAM2 RPD1 SDI1 SDS16 UME4 YOL004W,1,0,0,0,0,0,0,nucleus
P22696,ESS1_YEAST,ESS1 PIN1 PTF1 YJR017C J1452,1,0,0,0,0,0,0,nucleus
P22768,ASSY_YEAST,ARG1 YOL058W O1228,0,1,0,0,0,0,0,cytoplasm
P22803,TRX2_YEAST,TRX2 TRX1 YGR209C G7746,1,1,0,0,0,0,1,"nucleus,cytoplasm,vacuole"
P22804,BET1_YEAST,BET1 SLY12 YIL004C YIA4C,0,0,0,0,0,0,0,
P22855,MAN1_YEAST,AMS1 YGL156W G1861,0,0,0,0,0,0,0,
P22936,APN1_YEAST,APN1 YKL114C YKL513,1,0,1,0,0,0,0,"nucleus,mitochondrion"
P22943,HSP12_YEAST,HSP12 GLP1 HOR5 YFL014W,1,1,0,1,0,0,0,"nucleus,cytoplasm,plasma_membrane"
P23059,NAA38_YEAST,MAK31 NAA38 YCR020C-A YCR20C-A,0,0,0,0,0,0,0,
