protein1 protein2 experimental database textmining combined_score
4932.Q0085 4932.YJR121W 988 948 488 999
4932.Q0085 4932.YDR322C-A 0 720 0 720
4932.Q0085 4932.YEL027W 495 941 398 980
4932.Q0085 4932.YER154W 457 0 0 457
4932.Q0085 4932.YLR393W 734 0 0 734
4932.Q0085 4932.YLR067C 292 0 0 292
4932.Q0085 4932.YNR020C 292 0 0 292
4932.Q0085 4932.YNL312W 156 0 0 155
4932.Q0085 4932.YGL064C 154 0 0 153
4932.Q0105 4932.Q0075 152 0 116 218
4932.Q0105 4932.YEL024W 983 941 975 999
4932.Q0105 4932.YML043C 307 0 0 307
4932.Q0105 4932.YFL038C 276 0 0 276
4932.Q0105 4932.YER154W 292 0 0 292
4932.Q0105 4932.YHR001W-A 915 900 0 991
4932.Q0105 4932.YKR016W 292 0 0 292
4932.Q0105 4932.YJR048W 809 0 500 900
4932.Q0105 4932.YLR038C 971 900 0 996
4932.Q0105 4932.YDR051C 162 0 125 235
4932.Q0105 4932.YLR163C 507 621 114 819
4932.Q0105 4932.YLL041C 0 0 200 200
4932.Q0105 4932.Q0060 0 540 0 540
4932.Q0105 4932.YBL045C 970 924 114 997
4932.Q0105 4932.YPR042C 292 0 0 292
4932.Q0105 4932.YLR092W 151 0 0 150
4932.Q0105 4932.Q0120 0 900 0 900
4932.Q0105 4932.Q0275 965 900 0 996
4932.Q0105 4932.YOL027C 287 0 0 286
4932.Q0105 4932.YMR003W 152 0 116 218
4932.Q0105 4932.YJR007W 164 0 0 163
4932.Q0105 4932.YNR018W 800 0 0 800
4932.Q0105 4932.YHR024C 162 507 69 582
4932.Q0105 4932.YDR119W-A 800 720 0 941
4932.Q0105 4932.YMR173W 162 0 125 235
4932.Q0105 4932.YDL067C 800 900 0 979
4932.Q0105 4932.YHR051W 907 900 0 990
4932.Q0105 4932.YNL052W 832 900 0 982
4932.Q0105 4932.YIL111W 832 900 0 982
4932.Q0105 4932.Q0070 170 540 166 653
4932.Q0105 4932.Q0065 170 540 266 695
4932.Q0105 4932.YBR294W 151 0 0 150
4932.Q0105 4932.YDR231C 457 0 0 457
4932.Q0105 4932.YGR112W 292 0 0 292
4932.Q0105 4932.YLR203C 457 0 0 457
4932.Q0105 4932.YOR065W 991 941 960 999
4932.Q0105 4932.YGL191W 971 900 0 996
4932.Q0105 4932.YDR375C 292 0 0 292
4932.Q0105 4932.Q0250 964 900 436 997
4932.Q0105 4932.YMR014W 322 0 0 321
4932.Q0105 4932.Q0115 0 900 0 900
4932.Q0105 4932.YJR104C 177 0 0 177
4932.Q0105 4932.YJL166W 987 930 700 999
4932.Q0105 4932.YIR024C 292 0 0 292
4932.Q0105 4932.YML030W 734 0 0 734
4932.Q0105 4932.YGR130C 162 0 125 235
4932.Q0105 4932.YGL187C 971 900 0 996
4932.Q0105 4932.YEL039C 809 0 500 900
4932.Q0105 4932.YMR224C 165 0 0 165
4932.Q0105 4932.Q0110 0 900 0 900
4932.Q0105 4932.YML129C 292 0 0 292
4932.Q0105 4932.YJR153W 162 0 125 235
4932.Q0105 4932.YJL003W 287 0 0 286
4932.Q0105 4932.YER048W-A 413 0 268 551
4932.Q0105 4932.Q0045 872 900 266 989
4932.Q0105 4932.YGR125W 151 0 0 150
4932.Q0105 4932.YPL215W 618 0 303 722
4932.Q0105 4932.YLR395C 871 900 0 986
4932.Q0105 4932.YGL226W 164 540 0 598
4932.Q0105 4932.YGR174C 457 0 0 457
4932.Q0105 4932.YFR033C 816 900 0 980
4932.Q0105 4932.YBL030C 292 0 0 292
4932.Q0105 4932.YMR256C 944 900 195 995
4932.Q0105 4932.YKL192C 268 0 0 268
4932.Q0105 4932.YPR191W 956 933 218 997
4932.Q0105 4932.YBR120C 287 0 0 286
4932.Q0105 4932.YDR529C 987 933 803 999
4932.Q0105 4932.YMR244C-A 207 360 0 470
4932.Q0105 4932.YPR003C 151 0 0 150
4932.Q0105 4932.YGR183C 972 933 522 999
4932.Q0110 4932.YJR104C 177 0 0 177
4932.Q0110 4932.YJL166W 388 332 204 646
4932.Q0110 4932.Q0250 388 0 268 532
4932.Q0110 4932.YMR014W 322 0 0 321
4932.Q0110 4932.Q0115 0 900 0 900
4932.Q0110 4932.YGL191W 339 0 0 339
4932.Q0110 4932.YGR037C 387 0 0 386
4932.Q0110 4932.YOR065W 385 941 268 971
4932.Q0110 4932.YDR529C 388 332 246 664
4932.Q0110 4932.YMR244C-A 207 0 0 207
4932.Q0110 4932.YPR003C 151 0 0 150
4932.Q0110 4932.YGR183C 393 332 200 647
4932.Q0110 4932.YKL192C 268 0 0 268
4932.Q0110 4932.YPR191W 371 332 113 594
4932.Q0110 4932.Q0045 152 0 116 218
4932.Q0110 4932.YPL215W 0 0 172 171
4932.Q0110 4932.YGR125W 151 0 0 150
4932.Q0110 4932.YGL226W 164 0 0 163
4932.Q0110 4932.YLR395C 208 0 0 208
4932.Q0110 4932.YJR153W 162 0 125 235
4932.Q0110 4932.YER048W-A 413 0 268 551
4932.Q0110 4932.YGL187C 497 0 0 497
4932.Q0110 4932.YEL039C 85 0 186 223
4932.Q0110 4932.YMR224C 165 0 0 165
4932.Q0110 4932.YGR130C 162 0 125 235
4932.Q0110 4932.YLL041C 0 0 200 200
4932.Q0110 4932.YPR042C 292 0 0 292
4932.Q0110 4932.YBL045C 186 161 70 309
4932.Q0110 4932.YLR038C 207 0 0 207
4932.Q0110 4932.YDR051C 162 0 125 235
4932.Q0110 4932.YLR163C 186 161 70 309
4932.Q0110 4932.YJR048W 85 0 186 223
4932.Q0110 4932.YHR001W-A 164 0 0 163
4932.Q0110 4932.YKR016W 292 0 0 292
4932.Q0110 4932.YML043C 307 0 0 307
4932.Q0110 4932.YFL038C 276 0 0 276
4932.Q0110 4932.Q0075 152 0 116 218
4932.Q0110 4932.YEL024W 390 941 268 971
4932.Q0110 4932.YDR231C 292 0 0 292
4932.Q0110 4932.YIL111W 193 0 0 193
4932.Q0110 4932.Q0070 152 0 116 218
4932.Q0110 4932.Q0065 152 0 116 218
4932.Q0110 4932.YBR294W 151 0 0 150
4932.Q0110 4932.YHR051W 349 0 0 349
